501,4
oid,orgemp_id,indcode1,indcode2,outcome
13071,6,100,89,1
13062,5,257,293,1
13060,4,100,89,1
13050,4,100,89,1
13044,4,100,89,1
13036,8,100,89,1
13033,4,55,53,1
13026,11,269,313,1
13025,6,152,308,0
13019,8,49,40,1
13017,8,100,89,1
13000,5,269,313,0
12998,10,257,293,1
12997,10,257,293,1
12993,10,257,293,1
12974,10,257,293,1
12972,4,152,146,0
12964,5,257,293,1
12963,4,257,293,1
12962,4,257,293,1
12954,4,65,62,0
12935,4,257,293,0
12934,13,100,89,1
12929,10,257,293,1
12928,10,257,293,1
12923,4,257,293,1
12922,4,257,293,1
12921,10,257,293,1
12919,10,257,293,1
12917,2,65,59,1
12909,5,49,40,0
12907,8,100,89,0
12881,13,257,293,0
12878,4,257,293,0
12877,8,49,47,1
12872,13,100,89,0
12863,11,100,89,1
12853,5,152,139,1
12852,5,152,139,1
12851,5,152,139,1
12848,4,100,89,1
12844,12,100,89,1
12842,0,100,89,0
12838,14,100,89,1
12837,6,257,293,1
12824,5,152,139,1
12823,5,152,139,1
12820,4,100,92,0
12817,4,100,92,0
12815,4,257,293,1
12812,13,49,47,0
12807,7,100,89,0
12805,4,100,89,1
12802,6,49,47,0
12800,13,31,17,1
12796,10,257,293,1
12790,5,223,219,0
12782,6,257,293,0
12781,13,31,17,1
12780,13,100,89,1
12774,10,257,293,1
12760,4,257,293,1
12759,7,100,89,1
12757,13,100,89,1
12749,11,100,89,0
12745,10,257,293,1
12735,4,55,53,1
12734,4,55,53,0
12733,5,55,51,1
12731,5,100,89,1
12730,11,100,89,0
12729,11,100,89,0
12728,13,100,89,1
12721,4,257,293,0
12720,6,100,89,1
12719,12,100,92,0
12714,4,257,293,0
12666,5,257,293,0
12650,5,100,89,0
12643,9,257,293,0
12636,5,257,293,1
12635,8,100,89,0
12633,13,257,293,1
12632,11,100,89,1
12631,11,100,89,1
12630,11,100,89,1
12626,4,257,293,0
12625,5,49,300,1
12624,5,49,300,1
12621,10,257,293,1
